0,Объявили вторую волну. Очень пугающую вторую волну. Ты купил туалетной бумаги?,5/5,"Отлично. Смерть неизбежна, но лучше встретить её с чистой задницей.",,0/0,Это зря. Из чего тогда делать костюм мумии?,,1
2,Ты примешь посылку из Китая?,5/-10,"Плохая идея. Чехол для айфона того не стоил: за окном уже маячат люди в костюмах химзащиты, и они идут по твою душу.",,-5/5,"Ну вот, теперь ты не будешь самым модным на деревне. Три месяца ожидания насмарку.",,1
3,Долго моешь руки?,10/10,"Молодец. Ковид может быть и придуман тайным мировым правительством, а вот понос - вещь вполне реальная.",,-10/-10,"Пока враги моют руки, ты тренируешься.",,1
4,"Ты очень любишь турецкие сериалы, рахат лукум и пахлаву. Друзья приглашают тебя сгонять к горячим арабам в Стамбул. Погоним?",15/-5,"Ты купил много дешёвой одежды, но красоваться в ней сможешь только внутри номера в гостинице: тебя посадили на карантин.",,-5/15,"Что ж, ничего, Эрдоган никуда не денется.",,1
5,"Твой партнер вчера ездил на работу на метро, а после был в баре полном людей. Вы всё ещё вместе?",10/10,"Что ж, любви все возрасты покорны. И все уровни IQ.",,-30/-10,"Слышал фразу ""пока смерть не разлучит вас""? Теперь у тебя новое погоняло. А что, ""Смерть"" звучит круто, можно поставить на никнейм в ВК.",,1
6,"Продавщица в маске коня потребовала, чтобы вы одели маску. Наденете?",-20/0,"Теперь если незаметно положить в карман баночку тушёночки, никто не сможет тебя опознать. Одни плюсы!",,15/-5,Ты отстоял свои права и одолел несчастную женщину. Доволен собой?,7,1
7,"Продавщица позвала администратора магазина без маски, который вызвал полицию. Дождёшься полиции?",-15/-10,Приехали полицейские и положили всех мордой в пол. Теперь ты сидишь в СИЗО.,8,10/10,"Я вижу, блатные песни тебе совсем не нравятся.",,0
8,"Всю жизнь у тебя был хороший вкус, который, как говорят, пропадает при коронавирусе. И вдруг включенная сокамерниками песня Моргенштерна тебе понравилась. Пойдешь сдавать тест на COVID, как тебя выпустят?",-10/5,"Если через семь лет ещё будут делать тесты на ковид, то лучше бы вообще не выходить.",,15/-10,Правильно. Это не по понятиям.,,0
10,Рядом с вашим домом какой-то депутат построил вышку 5g. Снесете неугодное строение посланников ада?,0/30,"Ну и правильно. Говорят, 5G-волны заставляют болезни в организме волноваться. Береженого бог бережет.",,-10/0,Здраво - теперь сериалы на карантине можно смотреть со скоростью 300к/сек!,,1
11,Ковид - это биологическое оружие США. Позвоним на Рен-ТВ чтобы дать экспертное мнение?,0/20,"Ваш спич стал 
гвоздем программы. Повышенный интерес прессы к вам не за горами!",,0/20,"Жаль, а слава была так близка.",,1
13,"У твоего партнера уехали родители на выходные, но добираться надо на маршрутке с тремя пересадками по пробкам. Поедешь?",30/-10,На тебя покашляла бабушка в автобусе. Все истории любви начинаются именно так.,,-10/15,Дома тоже хорошо. Но так одиноко. ,,1
14,Вождь твоего государства объявил о создании вакцины и даже привился. Будешь ставить прививку?,-10/30,"Вакцина была не до конца протестирована и у тебя вырос второй пупок. Мелочь, а приятно.",43,-20/0,"Вроде и здраво, но попахивает антипрививечниством. Ты на мушке.",,1
15,"Ты не мылся неделю, но запаха от себя не чувствуешь. Забьешь тревогу?",-10/20,"Да, проблемы с обонянием - тревожный звоночек. Но в душ лучше все-таки сходить.",,10/10,"Ну хотя бы помойся, что ли.",,1
16,"Друзья поспорили, что через неделю дневной показатель заболевших ковидом доберется до 20к. Поставишь на 20к?",-5/10,"Коэффициент был так себе, потому что все и так знали: государство наврёт нам про 20к, чтобы заставить нас делать ""ку"". Ты заработал немного денег - хватит на пару рулонов туалетной бумаги.",,5/-5,Очень зря. Шанс был верняк.,,1
18,Ваш друг переболел бессимптомной формой. При вызове скорой вы упомянете об этом контакте?,-10/15,"Не стукач, а сознательный гражданин.",,15/-5,"Друг благодарен тебе по гроб жизни - ему не придётся сидеть 2 недели на карантине. Зато придётся тем, кого он заразит.",,1
20,Ваша бывшая оставила у вас лифчик. Хорошая идея для самодельных масок?,0/5,"Коненчо, маска с кружевами сделает вас самым модным пассажиром метро, но против вируса она бесполезна. ",,-10/10,"Да, вы правы, лучше отдайте бюстгальтер владелице. Или оставьте на кинки-пати, пригодится.",,1
25,"Пришёл курьер, в маске, но без перчаток. Оставишь чаевые?",15/5,Норман Ридус будет тебе благодарен.,,-5/-5,На сэкономленные деньги купишь себе совесть.,,1
26,Коллега закашлялся в зум-конференции. Время отключаться?,-10/-5,Правильно. Всем известно - в зуме незащищённое соединение.,,5/5,Можно поставить виртуальный фон с лимоном и имбирём - и болезнь побоится подойти к тебе.,,1
31,Объявили локдаун. Пойдешь в магазин за водкой для внутреннего обеззараживания?,-5/-10,Ты пошёл в магазин и тебя приняли мусора. Потому что нечего было отходить от дома в нечётный день.,,10/10,"Ты в безопасности, но трезвый. И стоило оно того?",,1
33,"Вы пришли в стоматологию лечить зуб, а доктор подозрительно похож на Билла Гейтса. Доверитесь доктору?",-10/10,"Чипирование чипированием, а зуб лечить надо - иначе не сможешь есть сладкое.",,15/-10,Правильно! Иначе он вживит тебе в десну чип и отключит тебе зубы.,,1
34,"Друзья зовут на вечеринку - людей будет немного, максимум человек 50. Пойдёте?",10/-15,"Живём один раз! Недолго, зато весело.",,-10/20,С вечеринками и правда лучше повременить.,,1
35,"В Пятёрочке скидки на гречку, бабушки выстроились в очередь и гречка уже подходит к концу. Пойдёте пополнять запасы?",10/-20,Серьёзно? Готов умереть за гречку? Понимаю тебя.,,-5/5,Благоразумие восторжествовало. Пока не появилось скидок на тушёнку и водку.,,1
36,Спускаете ли вы маску с носа?,10/-10,"Спускай ещё ниже: может, удастся спрятать второй подбородок.",,-5/20,Не дай властям надеть на тебя намордник!,,1
37,Надеваете ли вы штаны перед созвоном в зуме?,5/5,Достойно. Но скучно.,,10/10,Свобода - высшая ценность.,,1
38,"Знаете ли вы, во сколько начинается ""Бесогон"" Михалкова?",10/-10,"Отлично. Можно будет узнать, кто всё-таки первый придумал чипировать россиян: Гейтс или рептилойды.",,-10/10,"Ничего, можно посмотреть в записи.",,1
39,Начальник подошёл поздоровоться. Пожмёшь руку?,15/-10,"Плюс повышение, минус лёгкое. Выгодный курс.",,-10/5,"Ты потерял уважение, но зато остался в живых.",,1
40,"Имбирь стал стоить как золото, но бабушка из соседнего подъезда сказала, что он моментально лечит ковид. Купишь пару граммов?",0/-5,"Почти как вложение в биткойны, только убыточное.",,0/5,"Мудрое решение, мистер Баффет.",,1
41,"Носишь на шее яйцо из киндера, наполненное чесноком?",5/10,"Абсолютно бесполезно, но зато всегда есть чем закусить.",,-5/-5,Воспитатель в детском саде будет в ярости.,,1
43,"Оказалось, выросший после укола новой вакцины второй пупок был не единственной и не самой большой проблемой. Поздравляю, благодаря новейшим разработкам отечественной медицины теперь у тебя есть суперспособность: ты кашляешь сильнее всех в своём районе. Вызовешь скорую?",-10/-5,"В скорой сказали, что приедут через пару дней.",,5/-20,"И верно, этим грачам-убийцам нельзя доверять! Лечиться нужно старой-доброй гомеопатией.",,0